Station:,9907302 - Spanish Lookout,,,,
Data source:,Daily summary,,,,
Description:,PRECIP - Precipitation (mm.) (mm)   ,,,,
Latitude:,17.27105,,,,
Longitude:,-89.02426,,,,
Date of completion:,2/20/2024 17:12,,,,
Prepared by:,Akeisha Maldonado,,,,
Please note: -99.9 indicates missing data or elements not measured. ,,,,,
,,,,,
Year,Month,Day,PRECIP,,
2024,1,1,-99.9,,
2024,1,2,-99.9,,
2024,1,3,-99.9,,
2024,1,4,-99.9,,
2024,1,5,-99.9,,
2024,1,6,-99.9,,
2024,1,7,-99.9,1300010,7
2024,1,8,-99.9,1300010,7
2024,1,9,-99.9,1300010,7
2024,1,10,-99.9,1300010,7
2024,1,11,-99.9,1300010,7
2024,1,12,-99.9,1300010,7
2024,1,13,-99.9,1300010,7
2024,1,14,-99.9,1300010,7
2024,1,15,-99.9,1300010,7
2024,1,16,-99.9,1300010,7
2024,1,17,-99.9,1300010,7
2024,1,18,-99.9,1300010,7
2024,1,19,-99.9,1300010,7
2024,1,20,-99.9,1300010,7
2024,1,21,-99.9,1300010,7
2024,1,22,-99.9,1300010,7
2024,1,23,-99.9,1300010,7
2024,1,24,-99.9,1300010,7
2024,1,25,-99.9,1300010,7
2024,1,26,-99.9,1300010,7
2024,1,27,-99.9,1300010,7
2024,1,28,-99.9,1300010,7
2024,1,29,-99.9,1300010,7
2024,1,30,-99.9,1300010,7
2024,1,31,-99.9,1300010,7
